race,year,stage,stage_type,rider_slug,position,field_size,is_sprint,is_mountain,is_hilly,is_tt,co_mtn,co_spr,co_hll,co_itt,co_cob,co_gc,spec_climber,spec_sprint,spec_tt,spec_hills,form_overall,form_sprint,form_mountain,form_hilly,form_tt,gt_form_5,gt_form_10,gt_wins_so_far,xrace_form_10,xrace_top3_rate_10,xrace_top10_rate_10,startlist_quality,sprint_co_spr,sprint_spec,sprint_xrace_top3,mtn_co_mtn,profile_score,sprint_profile_score,p_class,finish_alt,norm_pos
pn,2021,1,sprint,sam-bennett,1,160,1,0,0,0,24.0,84.0,42.0,31.0,31.0,36.0,130,5514,135,1904,-1,-1,-1,-1,-1,,,0,,,,2.021,84.0,5514,,0.0,49,49,2,-1,1.0
pn,2021,1,sprint,arnaud-demare,2,160,1,0,0,0,-1,-1,-1,-1,-1,-1,206,6482,483,2650,-1,-1,-1,-1,-1,,,0,,,,2.021,-1,6482,,0,49,49,2,-1,0.993711
pn,2021,1,sprint,mads-pedersen,3,160,1,0,0,0,43.0,90.0,90.0,75.0,95.0,61.0,-1,-1,-1,-1,25.0,25.0,25.0,25.0,25.0,,,0,,,,2.021,90.0,-1,,0.0,49,49,2,-1,0.987421
pn,2021,1,sprint,jasper-philipsen,4,160,1,0,0,0,44.0,99.0,76.0,29.0,91.0,49.0,192,6628,155,2571,1.8,1.8,0.0,0.0,0.0,,,0,,,,2.021,99.0,6628,,0.0,49,49,2,-1,0.981132
pn,2021,1,sprint,bryan-coquard,5,160,1,0,0,0,36.0,90.0,71.0,26.0,39.0,40.0,238,5527,289,2795,9.7,2.2,1.1,8.0,0.0,,,0,,,,2.021,90.0,5527,,0.0,49,49,2,-1,0.974843
pn,2021,1,sprint,pascal-ackermann,6,160,1,0,0,0,31.0,91.0,49.0,20.0,41.0,36.0,-1,-1,-1,-1,5.5,5.5,0.0,0.0,0.0,,,0,,,,2.021,91.0,-1,,0.0,49,49,2,-1,0.968553
pn,2021,1,sprint,phil-bauhaus,7,160,1,0,0,0,26.0,91.0,51.0,20.0,50.0,33.0,0,3188,1,1687,5.2,5.2,0.0,0.0,0.0,,,0,,,,2.021,91.0,3188,,0.0,49,49,2,-1,0.962264
pn,2021,1,sprint,christophe-laporte,8,160,1,0,0,0,34.0,81.0,86.0,46.0,94.0,51.0,389,2439,989,2016,-1,-1,-1,-1,-1,,,0,,,,2.021,81.0,2439,,0.0,49,49,2,-1,0.955975
pn,2021,1,sprint,andre-greipel,9,160,1,0,0,0,-1,-1,-1,-1,-1,-1,294,13478,529,2225,-1,-1,-1,-1,-1,,,0,,,,2.021,-1,13478,,0,49,49,2,-1,0.949686
pn,2021,1,sprint,rudy-barbier,10,160,1,0,0,0,36.0,91.0,54.0,31.0,62.0,49.0,31,1706,61,152,-1,-1,-1,-1,-1,,,0,,,,2.021,91.0,1706,,0.0,49,49,2,-1,0.943396
pn,2021,1,sprint,anthony-turgis,11,160,1,0,0,0,29.0,90.0,76.0,28.0,88.0,38.0,222,1102,191,1242,-1,-1,-1,-1,-1,,,0,,,,2.021,90.0,1102,,0.0,49,49,2,-1,0.937107
pn,2021,1,sprint,john-degenkolb,12,160,1,0,0,0,24.0,69.0,51.0,23.0,68.0,35.0,316,4672,297,3345,-1,-1,-1,-1,-1,,,0,,,,2.021,69.0,4672,,0.0,49,49,2,-1,0.930818
pn,2021,1,sprint,damien-touze,13,160,1,0,0,0,31.0,62.0,47.0,33.0,49.0,40.0,40,304,89,405,-1,-1,-1,-1,-1,,,0,,,,2.021,62.0,304,,0.0,49,49,2,-1,0.924528
pn,2021,1,sprint,jordi-meeus,14,160,1,0,0,0,23.0,96.0,77.0,20.0,90.0,35.0,32,2234,61,1226,44.6,44.0,0.0,2.6,0.0,,,0,,,,2.021,96.0,2234,,0.0,49,49,2,-1,0.918239
pn,2021,1,sprint,matteo-trentin,15,160,1,0,0,0,33.0,87.0,83.0,40.0,87.0,50.0,1090,3198,334,4472,1.4,1.1,1.6,0.3,0.0,,,0,,,,2.021,87.0,3198,,0.0,49,49,2,-1,0.91195
pn,2021,1,sprint,matteo-jorgenson,16,160,1,0,0,0,92.0,67.0,92.0,86.0,86.0,91.0,2129,178,794,1490,2.8,1.8,0.0,3.3,0.7,,,0,,,,2.021,67.0,178,,0.0,49,49,2,-1,0.90566
pn,2021,1,sprint,michael-matthews,17,160,1,0,0,0,37.0,50.0,90.0,43.0,66.0,31.0,2374,3153,1678,7788,0.0,0.0,0.0,0.0,0.0,,,0,,,,2.021,50.0,3153,,0.0,49,49,2,-1,0.899371
pn,2021,1,sprint,johan-jacobs,18,160,1,0,0,0,29.0,56.0,51.0,32.0,66.0,35.0,-1,-1,-1,-1,1.5,1.1,0.0,0.0,2.0,,,0,,,,2.021,56.0,-1,,0.0,49,49,2,-1,0.893082
pn,2021,1,sprint,brandon-mcnulty,19,160,1,0,0,0,76.0,58.0,91.0,91.0,36.0,84.0,2345,60,2475,1274,2.4,1.5,0.1,0.8,0.0,,,0,,,,2.021,58.0,60,,0.0,49,49,2,-1,0.886792
pn,2021,1,sprint,giacomo-nizzolo,20,160,1,0,0,0,-1,-1,-1,-1,-1,-1,184,5020,234,2272,-1,-1,-1,-1,-1,,,0,,,,2.021,-1,5020,,0,49,49,2,-1,0.880503
pn,2021,1,sprint,aurelien-paret-peintre,21,160,1,0,0,0,-1,-1,-1,-1,-1,-1,1578,60,263,874,0.6,0.3,0.7,0.1,0.0,,,0,,,,2.021,-1,60,,0,49,49,2,-1,0.874214
pn,2021,1,sprint,nacer-bouhanni,22,160,1,0,0,0,-1,-1,-1,-1,-1,-1,227,6019,51,1942,-1,-1,-1,-1,-1,,,0,,,,2.021,-1,6019,,0,49,49,2,-1,0.867925
pn,2021,1,sprint,kristian-sbaragli,23,160,1,0,0,0,-1,-1,-1,-1,-1,-1,455,734,0,1537,-1,-1,-1,-1,-1,,,0,,,,2.021,-1,734,,0,49,49,2,-1,0.861635
pn,2021,1,sprint,sam-oomen,24,160,1,0,0,0,55.0,31.0,70.0,26.0,20.0,51.0,1338,148,197,698,-1,-1,-1,-1,-1,,,0,,,,2.021,31.0,148,,0.0,49,49,2,-1,0.855346
pn,2021,1,sprint,lucas-hamilton,25,160,1,0,0,0,37.0,36.0,50.0,26.0,20.0,36.0,969,40,84,472,-1,-1,-1,-1,-1,,,0,,,,2.021,36.0,40,,0.0,49,49,2,-1,0.849057
pn,2021,1,sprint,ben-swift,26,160,1,0,0,0,32.0,66.0,56.0,20.0,44.0,39.0,600,1613,87,1725,-1,-1,-1,-1,-1,,,0,,,,2.021,66.0,1613,,0.0,49,49,2,-1,0.842767
pn,2021,1,sprint,remi-cavagna,27,160,1,0,0,0,38.0,37.0,42.0,89.0,36.0,48.0,-1,-1,-1,-1,6.0,0.0,0.2,0.0,28.7,,,0,,,,2.021,37.0,-1,,0.0,49,49,2,-1,0.836478
pn,2021,1,sprint,jonas-koch,28,160,1,0,0,0,73.0,90.0,91.0,89.0,97.0,63.0,116,260,36,674,-1,-1,-1,-1,-1,,,0,,,,2.021,90.0,260,,0.0,49,49,2,-1,0.830189
pn,2021,1,sprint,piet-allegaert,29,160,1,0,0,0,24.0,67.0,40.0,20.0,59.0,32.0,19,826,140,485,0.3,0.3,0.0,0.1,0.0,,,0,,,,2.021,67.0,826,,0.0,49,49,2,-1,0.823899
pn,2021,1,sprint,patrick-bevin,30,160,1,0,0,0,-1,-1,-1,-1,-1,-1,518,298,1567,1014,-1,-1,-1,-1,-1,,,0,,,,2.021,-1,298,,0,49,49,2,-1,0.81761
pn,2021,1,sprint,jasper-stuyven,31,160,1,0,0,0,39.0,87.0,88.0,47.0,94.0,53.0,-1,-1,-1,-1,11.8,11.4,0.0,0.0,1.8,,,0,,,,2.021,87.0,-1,,0.0,49,49,2,-1,0.811321
