race,year,stage,stage_type,profile_score,is_sprint,is_mountain,is_hilly,is_tt,co_mtn,co_spr,co_hll,co_itt,co_cob,co_gc,spec_climber,spec_sprint,spec_tt,spec_hills,gt_form_5,gt_form_10,gt_wins_so_far,startlist_quality,position,dnf,top5,top10,top20,rider_slug
giro,2021,1,tt,1,0,0,0,1,45.0,61.0,73.0,95.0,90.0,60.0,-1,-1,-1,-1,-1,-1,0,1.0,1,0,1,1,1,filippo-ganna
giro,2021,1,tt,1,0,0,0,1,34.0,49.0,40.0,90.0,44.0,38.0,15,220,2303,140,-1,-1,0,1.0,2,0,1,1,1,edoardo-affini
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,3,0,1,1,1,tobias-foss
giro,2021,1,tt,1,0,0,0,1,95.0,46.0,88.0,90.0,20.0,92.0,4868,127,2996,1494,-1,-1,0,1.0,4,0,1,1,1,joao-almeida
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,5,0,1,1,1,remi-cavagna
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,6,0,0,1,1,jos-van-emden
giro,2021,1,tt,1,0,0,0,1,90.0,68.0,96.0,99.0,91.0,90.0,4886,120,4921,2044,-1,-1,0,1.0,7,0,0,1,1,remco-evenepoel
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,8,0,0,1,1,max-walscheid
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,9,0,0,1,1,matthias-brandle
giro,2021,1,tt,1,0,0,0,1,31.0,42.0,42.0,27.0,30.0,40.0,-1,-1,-1,-1,-1,-1,0,1.0,10,0,0,1,1,gianni-moscon
giro,2021,1,tt,1,0,0,0,1,90.0,62.0,83.0,77.0,20.0,79.0,-1,-1,-1,-1,-1,-1,0,1.0,11,0,0,0,1,aleksandr-vlasov
giro,2021,1,tt,1,0,0,0,1,49.0,51.0,90.0,71.0,65.0,59.0,-1,-1,-1,-1,-1,-1,0,1.0,12,0,0,0,1,alberto-bettiol
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,13,0,0,0,1,jonathan-castroviejo
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,14,0,0,0,1,alex-dowsett
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,15,0,0,0,1,maciej-bodnar
giro,2021,1,tt,1,0,0,0,1,48.0,47.0,54.0,86.0,20.0,45.0,-1,-1,-1,-1,-1,-1,0,1.0,16,0,0,0,1,nelson-oliveira
giro,2021,1,tt,1,0,0,0,1,73.0,50.0,90.0,43.0,20.0,69.0,-1,-1,-1,-1,-1,-1,0,1.0,17,0,0,0,1,diego-ulissi
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,18,0,0,0,1,roger-kluge
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,19,0,0,0,1,alessandro-de-marchi
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,20,0,0,0,1,fabio-felline
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,21,0,0,0,0,domenico-pozzovivo
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,22,0,0,0,0,valerio-conti
giro,2021,1,tt,1,0,0,0,1,56.0,33.0,70.0,58.0,71.0,43.0,606,158,1856,836,-1,-1,0,1.0,23,0,0,0,0,jan-tratnik
giro,2021,1,tt,1,0,0,0,1,74.0,47.0,78.0,81.0,42.0,54.0,-1,-1,-1,-1,-1,-1,0,1.0,24,0,0,0,0,victor-campenaerts
giro,2021,1,tt,1,0,0,0,1,88.0,48.0,67.0,43.0,20.0,79.0,-1,-1,-1,-1,-1,-1,0,1.0,25,0,0,0,0,damiano-caruso
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,26,0,0,0,0,david-dekker
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,27,0,0,0,0,mikkel-honore
giro,2021,1,tt,1,0,0,0,1,31.0,41.0,65.0,23.0,25.0,40.0,-1,-1,-1,-1,-1,-1,0,1.0,28,0,0,0,0,samuele-battistella
giro,2021,1,tt,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.0,29,0,0,0,0,davide-formolo
giro,2021,1,tt,1,0,0,0,1,61.0,48.0,68.0,79.0,20.0,65.0,-1,-1,-1,-1,-1,-1,0,1.0,30,0,0,0,0,matteo-sobrero
